iso2,wave_num,eb_n,exposure,support_aid,support_sanctions,gdp_pc,hicp,displaced_share,psm,psm_z
AT,1,eb97,0,50.29821073558648,63.81709741550696,46430.0,9.4,0.8217572496675272,72.2,1.2659493643167217
PL,1,eb97,3,91.24015748031496,92.61811023622047,15840.0,14.2,3.410797375456024,14.2,-0.9429383287417584
PT,1,eb97,0,86.81863230921705,94.15262636273538,21690.0,9.4,0.375343641185489,17.5,-0.8172602358608448
RO,1,eb97,0,60.65259117082534,68.71401151631478,12690.0,13.0,0.2666320364470109,7.6,-1.1942945145035853
SI,1,eb97,0,53.84615384615385,62.33766233766234,24660.0,11.7,0.2928083979536632,48.5,0.3633521518083427
SK,1,eb97,0,49.56437560503388,58.66408518877057,18360.0,12.8,1.5271278404449031,22.7,-0.6192220288969812
FI,1,eb97,0,88.89952153110048,88.13397129186603,44010.0,8.0,0.5828874412629156,89.3,1.9171903910632733
SE,1,eb97,0,91.4975845410628,93.42995169082126,48390.0,8.3,0.369678481134247,80.6,1.5858572371045012
BE,2,eb98,0,68.30917874396135,76.61835748792271,44190.0,7.4,0.5203190109067721,51.1,0.4623712552902746
BG,2,eb98,0,33.20425943852856,47.531461761858665,10950.0,14.3,2.3139998542118057,12.5,-1.0076815887107138
CZ,2,eb98,0,50.048780487804876,69.5609756097561,21680.0,19.1,4.06140680851559,29.7,-0.3526321349071646
DK,2,eb98,0,89.45812807881774,90.24630541871922,56770.0,8.4,0.5489954411634321,79.3,1.5363476853635354
DE,2,eb98,3,63.18537859007833,74.08616187989556,43450.0,9.2,1.169318489032905,103.0,2.4389448978719144
EE,2,eb98,1,72.09775967413442,71.28309572301426,21210.0,18.6,2.850168828392455,30.9,-0.3069310102231961
IE,2,eb98,0,81.64682539682539,85.81349206349206,87630.0,7.5,1.3426237267364711,46.0,0.2681414753834082
EL,2,eb98,0,36.78500986193294,55.62130177514793,18600.0,7.3,0.2091931949146057,17.8,-0.8058349546898527
ES,2,eb98,0,64.98516320474778,73.39268051434223,27150.0,5.9,0.3380654665356469,44.8,0.22244035069943957
FR,2,eb98,3,60.29556650246305,65.41871921182266,37730.0,7.0,0.0981513450827882,51.2,0.46617968234727203
HR,2,eb98,0,73.0,81.9,16490.0,12.5,0.4993645631378064,39.7,0.02821057079257344
IT,2,eb98,3,56.23781676413255,74.36647173489278,32630.0,10.7,0.2470032434250567,30.7,-0.31454786433719084
CY,2,eb98,0,49.10891089108911,52.475247524752476,29320.0,6.8,1.4087267301945876,37.2,-0.06700010563236104
LV,2,eb98,3,77.09335899903753,74.1097208854668,16770.0,21.4,1.8936925633125952,18.7,-0.7715591111768764
LT,2,eb98,1,88.33499501495514,84.3469591226321,19220.0,18.5,2.3146147086091347,18.6,-0.7753675382338736
LU,2,eb98,0,64.11764705882354,75.09803921568627,102250.0,5.8,0.6840100543424802,10.9,-1.068616421622672
HU,2,eb98,0,50.28846153846154,56.34615384615385,16050.0,26.2,0.3054768960505613,29.2,-0.3716742701921515
MT,2,eb98,0,75.5952380952381,78.37301587301587,33380.0,6.8,0.2877957978123829,8.1,-1.1752523792185985
NL,2,eb98,0,89.62172647914646,88.65179437439379,50660.0,8.4,0.4483392023632649,39.9,0.03582742490656804
AT,2,eb98,0,49.901185770750985,69.36758893280633,45670.0,11.6,0.9621328244133956,72.2,1.2659493643167217
PL,2,eb98,3,88.75739644970415,89.64497041420118,15950.0,15.9,2.637623016065632,14.2,-0.9429383287417584
PT,2,eb98,0,81.74603174603175,89.08730158730158,22130.0,8.6,0.4290826873004171,17.5,-0.8172602358608448
RO,2,eb98,0,55.331412103746395,66.28242074927954,12970.0,13.4,0.5707619977047769,7.6,-1.1942945145035853
SI,2,eb98,0,52.747252747252745,61.03896103896104,25120.0,9.9,0.3689231600606905,48.5,0.3633521518083427
SK,2,eb98,0,37.25099601593625,49.00398406374502,18750.0,15.1,1.768901810936945,22.7,-0.6192220288969812
FI,2,eb98,0,87.90560471976401,84.66076696165192,43280.0,7.9,0.7943968065967286,89.3,1.9171903910632733
SE,2,eb98,0,91.85043144774689,94.34324065196549,47960.0,9.6,0.442567620226514,80.6,1.5858572371045012
BE,3,eb99,0,68.44181459566074,76.62721893491124,44190.0,1.6,0.5631112045206269,51.1,0.4623712552902746
BG,3,eb99,0,30.35019455252918,46.10894941634241,10950.0,7.5,2.4821215594373816,12.5,-1.0076815887107138
CZ,3,eb99,0,53.23671497584541,73.81642512077295,21680.0,11.2,3.2162924707936593,29.7,-0.3526321349071646
DK,3,eb99,0,88.77952755905511,88.77952755905511,56770.0,2.4,0.5947591078124563,79.3,1.5363476853635354
DE,3,eb99,3,61.94462330972312,73.66387636831938,43450.0,6.8,1.3186474573212046,103.0,2.4389448978719144
EE,3,eb99,0,63.672654690618764,62.5748502994012,21210.0,9.0,2.569032216498619,30.9,-0.3069310102231961
IE,3,eb99,0,78.86904761904762,89.08730158730158,87630.0,4.8,1.6018530199311567,46.0,0.2681414753834082
EL,3,eb99,0,43.040473840078974,58.045409674234946,18600.0,2.8,0.233996432179297,17.8,-0.8058349546898527
ES,3,eb99,3,59.90147783251231,71.52709359605912,27150.0,1.6,0.3678146452929822,44.8,0.22244035069943957
FR,3,eb99,3,57.69230769230769,63.80670611439842,37730.0,5.3,0.0947754016310859,51.2,0.46617968234727203
HR,3,eb99,0,72.08374875373879,80.25922233300099,16490.0,8.3,0.557403034204525,39.7,0.02821057079257344
IT,3,eb99,3,59.53533397870281,70.1839303000968,32630.0,6.7,0.2699111098507876,30.7,-0.31454786433719084
CY,3,eb99,0,35.11904761904762,35.317460317460316,29320.0,2.8,1.772235123550708,37.2,-0.06700010563236104
LV,3,eb99,1,74.53658536585365,70.63414634146342,16770.0,8.1,2.313164724871111,18.7,-0.7715591111768764
LT,3,eb99,0,84.32539682539682,84.02777777777777,19220.0,8.2,2.460907737746296,18.6,-0.7753675382338736
LU,3,eb99,0,70.01972386587771,74.55621301775147,102250.0,1.0,0.5962388526790646,10.9,-1.068616421622672
HU,3,eb99,0,44.36826640548482,58.961802154750245,16050.0,19.9,0.3289150210672285,29.2,-0.3716742701921515
MT,3,eb99,0,64.2578125,76.3671875,33380.0,6.2,0.3237702725389308,8.1,-1.1752523792185985
NL,3,eb99,0,85.22954091816368,85.92814371257485,50660.0,6.4,0.5189124134797416,39.9,0.03582742490656804
AT,3,eb99,0,40.059642147117295,54.97017892644135,45670.0,7.8,0.8213275412058644,72.2,1.2659493643167217
PL,3,eb99,3,85.60079443892751,89.07646474677259,15950.0,11.0,2.651091034663796,14.2,-0.9429383287417584
PT,3,eb99,0,90.13944223107569,94.12350597609561,22130.0,4.7,0.4545186139160097,17.5,-0.8172602358608448
RO,3,eb99,0,55.39772727272727,64.77272727272727,12970.0,9.3,0.6942976489181867,7.6,-1.1942945145035853
SI,3,eb99,0,49.603960396039604,58.613861386138616,25120.0,6.6,0.4026978155592043,48.5,0.3633521518083427
SK,3,eb99,0,37.46253746253746,50.54945054945055,18750.0,11.3,1.903922640616918,22.7,-0.6192220288969812
FI,3,eb99,0,89.23230309072781,86.73978065802592,43280.0,4.1,0.9321581532610708,89.3,1.9171903910632733
SE,3,eb99,0,92.48780487804878,94.14634146341463,47960.0,6.3,0.3673411043005426,80.6,1.5858572371045012
BE,4,eb100,0,60.13779527559055,77.65748031496064,44190.0,-0.8,0.6138657266974578,51.1,0.4623712552902746
BG,4,eb100,0,30.4648862512364,44.609297725024724,10950.0,5.5,2.6231793923734164,12.5,-1.0076815887107138
CZ,4,eb100,0,42.0375865479723,66.76557863501483,21680.0,8.0,3.4029001446221017,29.7,-0.3526321349071646
DK,4,eb100,0,83.00395256916995,87.5494071146245,56770.0,0.3,0.6021756873062208,79.3,1.5363476853635354
DE,4,eb100,3,60.379829731499676,71.77472167648985,43450.0,2.3,1.4397877555563712,103.0,2.4389448978719144
EE,4,eb100,0,61.7148554336989,66.50049850448654,21210.0,4.1,2.6184507615580825,30.9,-0.3069310102231961
IE,4,eb100,0,72.53937007874016,85.13779527559055,87630.0,2.5,1.858047063443358,46.0,0.2681414753834082
EL,4,eb100,0,37.15415019762846,55.533596837944664,18600.0,2.9,0.2540409088059952,17.8,-0.8058349546898527
ES,4,eb100,3,53.08151093439364,69.0854870775348,27150.0,3.3,0.3928118580621657,44.8,0.22244035069943957
FR,4,eb100,3,54.829268292682926,66.92682926829268,37730.0,3.9,0.0918022280055087,51.2,0.46617968234727203
HR,4,eb100,0,73.44961240310077,80.23255813953489,16490.0,5.5,0.5901227091683126,39.7,0.02821057079257344
