iso2,wave_num,gdp_pc,hicp,displaced_share
HU,6,16210.0,3.4,0.39704205494903455
HU,7,16370.0,4.2,0.41852289563962564
HU,8,16370.0,4.2,0.43927869609964965
HU,9,,,
MT,1,31390.0,6.8,0.23645933860592802
MT,2,33380.0,6.8,0.28779579781238296
MT,3,33380.0,6.2,0.3237702725389308
MT,4,33380.0,3.9,0.357899902407707
MT,5,34480.0,2.4,0.3567352864442366
MT,6,34480.0,2.4,0.38513212516616585
MT,7,35000.0,2.6,0.39878101872006966
MT,8,35000.0,2.5,0.4222899434044406
MT,9,,,
NL,1,51480.0,11.6,0.44046071690723354
NL,2,50660.0,8.4,0.44833920236326497
NL,3,50660.0,6.4,0.5189124134797416
NL,4,50660.0,1.4,0.6155645876539775
NL,5,50870.0,2.6,0.6159525009889683
NL,6,50870.0,3.3,0.656414093073477
NL,7,51400.0,4.1,0.6701386558554806
NL,8,51400.0,3.0,0.7199889470349385
NL,9,,,
AT,1,46430.0,9.4,0.8217572496675272
AT,2,45670.0,11.6,0.9621328244133955
AT,3,45670.0,7.8,0.8213275412058644
AT,4,45670.0,4.9,0.8960685671206264
AT,5,45140.0,3.4,0.7870069605568445
AT,6,45140.0,1.8,0.901214685410127
AT,7,45380.0,3.3,0.8870078359607416
AT,8,45380.0,4.0,0.9717074074504961
AT,9,,,
PL,1,15840.0,14.2,3.410797375456024
PL,2,15950.0,15.9,2.637623016065632
PL,3,15950.0,11.0,2.651091034663796
PL,4,15950.0,6.3,2.5895598749471347
PL,5,16510.0,3.0,2.59240812026552
PL,6,16510.0,4.2,2.673864182188511
PL,7,17170.0,3.7,2.693678018176316
PL,8,17170.0,2.9,2.634262981610108
PL,9,,,
PT,1,21690.0,9.4,0.375343641185489
PT,2,22130.0,8.6,0.4290826873004171
PT,3,22130.0,4.7,0.45451861391600973
PT,4,22130.0,2.2,0.47848068310153996
PT,5,22370.0,2.3,0.46340479068727897
PT,6,22370.0,2.6,0.49423265223183377
PT,7,22560.0,2.1,0.5161570602164631
PT,8,22560.0,2.0,0.5422044562443283
PT,9,,,
RO,1,12690.0,13.0,0.2666320364470109
RO,2,12970.0,13.4,0.5707619977047769
RO,3,12970.0,9.3,0.6942976489181867
RO,4,12970.0,6.9,0.7500041458438598
RO,5,13090.0,6.2,0.8043235280667034
