iso2,psm
DE,103.0
FR,51.2
ES,44.8
IT,30.7
SE,80.6
NL,39.9
AT,72.2
BE,51.1
PL,14.2
FI,89.3
DK,79.3
CZ,29.7
HU,29.2
IE,46.0
EL,17.8
PT,17.5
HR,39.7
RO,7.6
SK,22.7
SI,48.5
BG,12.5
LT,18.6
EE,30.9
LV,18.7
CY,37.2
LU,10.9
MT,8.1
